ID,Value
April_alcoholic beverages and tobacco,109.44615719091333
April_clothing and footwear,103.22080882601398
April_communication,99.6571579270814
April_education,108.84640420795141
April_food and non-alcoholic beverages,117.17502147322297
April_headline CPI,108.46495662969652
April_health,107.85249329885765
April_household contents and services,107.83668686592564
April_housing and utilities,104.3323214871927
April_miscellaneous goods and services,107.62845360397608
April_recreation and culture,103.87449803860441
April_restaurants and hotels,108.43078724078543
April_transport,110.22311401367188
