"date","Top 40 Index","Mid Cap Index","Small Cap Index","All-Share Index","Large Cap Index","Fin 15 Index"
2018-01-02,52823.988281,79812.476563,60617.621094,59731.160156,58643.988281,17683.800781
2018-01-03,52832.070313,78737.75,60794.25,59629.640625,58641.011719,17249.75
2018-01-04,52662.628906,78528.953125,60762.96875,59476.769531,58487.03125,17189.369141
2018-01-05,52842.679688,79251.117188,60684.21875,59717.199219,58689.03125,17254.529297
2018-01-08,53131.699219,79509.101563,61136.578125,60038.390625,59019.320313,17283.570313
2018-01-09,53184.359375,79538.601563,61358.769531,60113.648438,59096.101563,17317.529297
2018-01-10,53167.960938,78636.40625,60818.570313,59979.628906,59060.601563,17155.060547
2018-01-11,52824.800781,78299.820313,60656.589844,59606.019531,58667.691406,16900.990234
2018-01-12,53296.101563,78442.46875,61108.308594,60083.128906,59193.210938,17015.820313
2018-01-15,53431.53125,78860.828125,61000.261719,60240.960938,59334.238281,17158.070313
2018-01-16,53777.679688,79511.921875,61492.558594,60649.601563,59720.808594,17529.310547
2018-01-17,54068.839844,79543.070313,61198.269531,60924.460938,60049.011719,17657.529297
2018-01-18,54010.488281,80179.648438,61061.460938,60922.550781,59979.679688,17847.789063
2018-01-19,54058.738281,79509.453125,61198.640625,60912.878906,60039.261719,17544.769531
2018-01-22,54165.851563,79805.242188,61463.460938,61060.28125,60168.71875,17724.310547
2018-01-23,54521.808594,80729.78125,61435.070313,61475.441406,60550.480469,18058.949219
2018-01-24,54575.941406,81612.390625,61856.550781,61623.128906,60608.398438,18193.730469
2018-01-25,54558.019531,82369.492188,62109.800781,61684.769531,60585.890625,18404.480469
2018-01-26,54530.628906,81651.257813,62237.101563,61595.859375,60558.550781,18311.429688
2018-01-29,53863.761719,80319.8125,61623.621094,60806.898438,59808.601563,17605.939453
2018-01-30,52700,79025.117188,60867.769531,59546.230469,58508.308594,17347.609375
2018-01-31,52614.648438,79794.710938,60667.75,59506.121094,58381.660156,17460.230469
2018-02-01,52453.699219,79045.78125,59786.621094,59258.371094,58207.910156,17534.769531
2018-02-02,51908.171875,78241.390625,59687.980469,58656.820313,57599.230469,17397.900391
2018-02-05,50496.300781,76491.742188,58466.230469,57113.738281,56036.769531,16932.890625
2018-02-06,49855.828125,75526.8125,58021.890625,56377.210938,55300.730469,16784.009766
2018-02-07,50182.351563,77392.703125,58466.730469,56886.449219,55669.441406,17522.550781
2018-02-08,49934.789063,76998.96875,59150.890625,56635.691406,55396.601563,17514.480469
2018-02-09,49287.449219,75978.929688,58701.46875,55902.621094,54671,17303.029297
2018-02-12,49544.320313,76463.867188,58850.859375,56206.761719,54966.390625,17510.080078
2018-02-13,50405.03125,78315.796875,59658.28125,57208.96875,55899.898438,17670.820313
2018-02-14,50556,78701.976563,59998.21875,57399.550781,56066.96875,17718.179688
2018-02-15,52565.449219,81176.789063,60610.460938,59533.101563,58259.199219,18559.800781
2018-02-16,52110.800781,81264.023438,61119.480469,59122.339844,57751.300781,18319.130859
2018-02-19,51717.421875,80842.21875,60811.800781,58701.371094,57317.871094,18332.869141
2018-02-20,51020.460938,79521.023438,60260.679688,57928.78125,56583.691406,18203.720703
2018-02-21,51727.371094,79522.953125,60394.519531,58605.96875,57370.089844,18482.480469
2018-02-22,51258.519531,79404.25,60400.058594,58155.089844,56856.390625,18292.929688
2018-02-23,51747.148438,80281.296875,60659.359375,58715.460938,57403.058594,18571.470703
2018-02-26,51861.359375,80629.632813,60743.449219,58868.929688,57540.101563,18535.220703
2018-02-27,52033.511719,80693.007813,60700.238281,59027.21875,57719.460938,18631.779297
2018-02-28,51383.449219,79685.898438,60846.28125,58325.089844,57007.429688,18352.189453
2018-03-01,51011.019531,79353.203125,60653.011719,57923.160156,56582.21875,18398.230469
2018-03-02,50824.621094,79516.203125,60804.089844,57744.699219,56350.058594,18394.910156
2018-03-05,51021.75,79344.460938,60523.539063,57912.398438,56575.21875,18462.939453
2018-03-06,52257.988281,80917.140625,60766.941406,59242.859375,57943.761719,18847.580078
2018-03-07,52005.089844,80601.992188,61079.640625,58962.648438,57640.820313,18649.880859
2018-03-08,52057.140625,79942.203125,60810.5,58926.011719,57681.800781,18530.289063
2018-03-09,52348.570313,79657.453125,60568.988281,59169.230469,58006.5,18437.210938
2018-03-12,52440.890625,78983.171875,60606.621094,59194.449219,58110.488281,18533.050781
2018-03-13,52371.5,78536.601563,60397.671875,59084.511719,58039.71875,18632.849609
2018-03-14,51788.828125,77413.046875,59748.648438,58423.171875,57416.628906,18358.980469
2018-03-15,51613.140625,76962.617188,59214.851563,58203.769531,57229.941406,18438.199219
2018-03-16,51421.640625,77564.429688,59508.378906,58101.019531,57031.808594,18359.240234
2018-03-19,51434.839844,77365.78125,58986.75,58088.421875,57061.710938,18374.839844
2018-03-20,51615.21875,78075.328125,59415.488281,58288.871094,57195.078125,18354.339844
2018-03-22,50517.261719,77737.898438,59635.410156,57224.601563,55965.390625,17997.070313
2018-03-23,49755.199219,77273.882813,59331,56405.640625,55062.839844,17796.150391
2018-03-26,49566.230469,76982.703125,59406.601563,56176.429688,54823.960938,17882.599609
2018-03-27,49417.761719,76702.0625,59736.011719,56050.789063,54696.800781,17734
2018-03-28,48139.78125,75858.3125,59467.53125,54763.96875,53284.671875,17228.759766
2018-03-29,48794.5,76577.523438,59779.261719,55474.519531,54026.710938,17553.490234
2018-04-03,48179.941406,76032.023438,60008.21875,54864.789063,53361.808594,17274.480469
2018-04-04,48051.898438,74747.84375,59478.089844,54602.679688,53230.339844,16985.029297
2018-04-05,49097.21875,76219,59791.300781,55761.148438,54410.761719,17350.140625
2018-04-06,49140.589844,76844.78125,60307.929688,55878.808594,54452.828125,17387.580078
2018-04-09,49391.359375,76569.171875,60010.441406,56091.558594,54750.980469,17428.380859
2018-04-10,50036.070313,76880.03125,59874.28125,56747.238281,55495.851563,17592.789063
2018-04-11,49472.898438,76395.796875,60193.390625,56170.070313,54858.488281,17289.480469
2018-04-12,49808.949219,76249.789063,60021.171875,56480.980469,55252.199219,17494.630859
2018-04-13,49882.871094,76312.03125,60206.78125,56563.171875,55334.808594,17460.449219
2018-04-16,50121.199219,76094.9375,60025.25,56733.46875,55570.820313,17529.380859
2018-04-17,50176,76533.453125,60245.308594,56826.738281,55618.679688,17598.300781
2018-04-18,51025.800781,77562.9375,60121.089844,57713.289063,56548.078125,17941.699219
2018-04-19,50729.191406,78364.578125,60336.5,57526.789063,56219.171875,17928.720703
2018-04-20,50765.878906,78647.257813,60115.78125,57581.730469,56257.941406,17923.410156
2018-04-23,50877.980469,78599.359375,59641.160156,57679.511719,56398.351563,17814.699219
2018-04-24,50871.019531,78113.453125,59854.191406,57675.210938,56445.121094,17620.320313
2018-04-25,50234.851563,77356.851563,59457.03125,56987.191406,55737.761719,17349.189453
2018-04-26,50684.21875,77710.257813,59583.988281,57453.039063,56241.898438,17572.089844
2018-04-30,51419.21875,79055,60372.191406,58252.121094,56993.03125,17834.230469
2018-05-02,51553.859375,79527.40625,61100.488281,58450.441406,57141.53125,17926.080078
2018-05-03,50408.148438,78383.132813,60767.46875,57273.878906,55899.851563,17416.039063
2018-05-04,50873.589844,77716.09375,60828.449219,57648.871094,56425.230469,17435.699219
2018-05-07,51148.851563,77470.609375,60533.699219,57880.71875,56742.308594,17561.660156
2018-05-08,51002.578125,76369.867188,60833.109375,57665.238281,56611.339844,17418.509766
2018-05-09,51279.359375,76445.859375,60337.671875,57915.128906,56917.789063,17472.980469
2018-05-10,51493.070313,75398.953125,59407.488281,58005.621094,57191.128906,17591.130859
2018-05-11,51822.78125,76444.640625,59879.628906,58422.859375,57538.390625,17673.679688
2018-05-14,52000.480469,76499.59375,59941.25,58614.449219,57756.589844,17627.070313
2018-05-15,51333.230469,75211.367188,59502.75,57891.769531,57075.550781,17159.679688
2018-05-16,52108.101563,75175.671875,59797.039063,58621.769531,57935.070313,17253.470703
2018-05-17,51675.019531,74657.671875,59543.070313,58184.25,57489.820313,16901.439453
2018-05-18,51292.179688,74201.578125,59780.078125,57804.328125,57086.058594,16692.800781
2018-05-21,51310.871094,74119.882813,59539.890625,57821.199219,57125.621094,16737.550781
2018-05-22,51598.328125,74620.953125,59244.75,58121.839844,57431.960938,16986.689453
2018-05-23,50599.949219,73365.328125,59074.261719,57043.421875,56314.019531,16709.169922
2018-05-24,50345.5,72110.648438,58783.261719,56699.199219,56072.269531,16570.130859
2018-05-25,50541.988281,72771.789063,58832.660156,56916.96875,56246.921875,16856.939453
2018-05-28,50550.691406,72277,58497.730469,56857.238281,56250.441406,16819.570313
2018-05-29,49622.539063,71615.070313,58489.910156,55935.75,55238.871094,16545.119141
2018-05-30,49287.328125,71556.367188,58228.171875,55601.628906,54859.53125,16444.310547
2018-05-31,49783.921875,72404.578125,58698.339844,56157.890625,55396.160156,16610.660156
2018-06-01,50875.011719,72916.390625,59043.03125,57282.140625,56653.808594,16872.189453
2018-06-04,51404.550781,73654.296875,59162.75,57870.890625,57256.160156,17216.519531
2018-06-05,51413.929688,72787.929688,58128.738281,57779.109375,57294.738281,16848.740234
2018-06-06,51736.769531,72862.078125,57833.769531,58081.871094,57656.171875,16719.109375
2018-06-07,52037.691406,73070.90625,57807.640625,58391.640625,57998.871094,16591.830078
2018-06-08,51881.929688,72914.109375,57916.46875,58223.71875,57814.921875,16506.759766
2018-06-11,51835.441406,72820.929688,57619.488281,58146.101563,57745.738281,16426.230469
2018-06-12,51909.398438,72776.132813,57561.660156,58207.820313,57826.808594,16509.830078
2018-06-13,52200.03125,72277.140625,57180.25,58437.230469,58175.789063,16664.810547
2018-06-14,52178.238281,72969.203125,57819.238281,58495.671875,58134.601563,16821.980469
2018-06-15,51327.699219,72693.070313,57672.269531,57660.5,57183.359375,16324.339844
2018-06-18,51004.929688,71549.40625,57399.101563,57236.839844,56833.5,15959.679688
2018-06-19,50020.398438,70900.3125,57250.429688,56253.308594,55752.738281,15697.919922
2018-06-20,50396.441406,71414.53125,57216.371094,56651.660156,56162.710938,15919.669922
2018-06-21,50023.539063,71048.226563,56403.691406,56234.429688,55744.019531,15956.30957
2018-06-22,50623.101563,71538.570313,56369.839844,56856.660156,56422.679688,16150.860352
2018-06-25,49707.699219,70742.367188,56241.820313,55889.261719,55378.621094,16012.330078
2018-06-26,49572.769531,69968.5,55739.609375,55254.671875,54740.988281,15902.19043
2018-06-27,49329.601563,68955.773438,55682.558594,55369.261719,55005.78125,15493.480469
2018-06-28,49776.921875,68951.351563,55400.378906,55795.199219,55522.800781,15623.089844
2018-06-29,51516.058594,70472.242188,56276.351563,57610.980469,57455.339844,16139.25
2018-07-02,50979.871094,71147.53125,56058.761719,57159.589844,56843.269531,16154.379883
2018-07-03,51286.820313,71962.226563,56350.871094,57488.761719,57121.171875,16348.379883
2018-07-04,51374.289063,71797.398438,56708.71875,57600.019531,57260.261719,16585.779297
2018-07-05,51193.980469,71682.453125,56891.789063,57414,57046.800781,16486.300781
2018-07-06,51122.671875,71229.140625,56652.511719,57313.878906,56993.671875,16316.669922
2018-07-09,51992.921875,71908.15625,56879.238281,58219.910156,57975.941406,16686.380859
2018-07-10,51795.511719,71576.171875,57215.851563,58027.109375,57775.71875,16529.189453
2018-07-11,51044.558594,70868.320313,56384.648438,57231.011719,56950.570313,16294.610352
2018-07-12,50672.378906,70783.539063,56144.050781,56849.359375,56517.171875,16234.480469
2018-07-13,50244.078125,70032.320313,56141.421875,56364.140625,56035.039063,16191.969727
2018-07-16,49338.949219,69088.539063,55886.839844,55442.039063,55067.839844,15938.040039
2018-07-17,49995.660156,69715.382813,55976.910156,56113.058594,55782.800781,16180.580078
2018-07-18,50168.738281,69419.328125,55739.488281,56237.199219,55976.210938,16218.049805
2018-07-19,50199.699219,69580.992188,55211.101563,56276.71875,56023.03125,16156.610352
2018-07-20,50904.199219,70139.117188,55982.519531,56990.199219,56771.070313,16478.109375
2018-07-23,50481.320313,69716.679688,55595.890625,56556.808594,56323.988281,16420.310547
2018-07-24,50989.640625,69708.867188,55384.050781,57054.839844,56924.351563,16619.970703
2018-07-25,50321.550781,69331.476563,55290.378906,56387.871094,56183.171875,16516.419922
2018-07-26,50703.730469,69535,55059.128906,56743.25,56588.480469,16672.619141
2018-07-27,51126.898438,69764.867188,55104.109375,57162.378906,57055.691406,16805.25
2018-07-30,51227.679688,70305.65625,55234.359375,57313.140625,57162.148438,16981.519531
