Month,Alcoholic beverages and tobacco,Clothing and footwear,Communication,Education,Food and non-alcoholic beverages,Headline_CPI,Health,Household contents and services,Housing and utilities,Miscellaneous goods and services,Recreation and culture,Restaurants and hotels ,Transport
2022-01-31,100,100.2,99.8,100,100.9,100.2,100.1,100.4,100,100.6,100.2,101.2,98.9
2022-02-28,100.6,100.3,99.7,100,101.8,100.8,103.2,100.4,100.1,101.5,100.3,101.9,100.6
2022-03-31,102.8,100.5,99.7,104.4,102.4,101.8,103.7,100.8,100.5,101.9,100.4,103,103.7
2022-04-30,103.6,100.7,99.6,104.4,103.1,102.4,104,101.1,100.5,102.8,100.7,103.3,105.1
2022-05-31,104.4,100.9,99.9,104.4,105.3,103.1,104.3,101.8,100.6,102.9,101,103.8,105.9
2022-06-30,104.5,101.3,100.3,104.4,106.6,104.2,104.6,103,101.2,103,101.2,104.2,110.3
2022-07-31,104.4,101.6,99.4,104.4,107.8,105.8,104.1,103.3,103.1,103.4,102.3,104.6,115.6
2022-08-31,104.7,102.1,100.1,104.4,109.7,106,104.2,103.7,103.2,103.5,102.4,104.3,114.5
2022-09-30,105.6,102.5,99.9,104.4,110.3,106.1,104,104.5,103.7,103.8,102.5,106.2,112
2022-10-31,106.1,102.6,99.8,104.4,111.3,106.5,104.5,105,103.8,104.7,102.7,107.4,111.7
2022-11-30,106.4,102.6,99.2,104.4,111.9,106.8,104.7,105.2,103.8,104.7,102.8,108,113.1
2022-12-31,106.2,102.8,99.1,104.4,112.4,107.2,104.8,106.1,104.1,104.9,103.4,107.8,113.9
2023-01-31,106.5,102.9,99.4,104.4,114.4,107.1,104.9,106.6,104.1,105.4,103.4,106.8,109.9
2023-02-28,106.9,103.5,99.8,104.4,115.6,107.9,108.5,106.6,104.1,107.7,103.3,108.8,110.6
2023-03-31,109.2,103.4,99.7,110.4,116.7,109,109.1,107.8,104.5,107.9,104.2,109.6,112.9
2023-04-30,110.2,103.7,99.8,110.4,117.4,109.4,109.6,107.7,104.6,109.3,104.9,108.6,113.1
2023-05-31,110.6,104.1,99.7,110.4,117.7,109.6,110.3,107.5,104.6,109.4,104.8,110.4,113.3
2023-06-30,110.9,104.3,99.6,110.4,118.3,109.8,110.8,107.7,105.4,109.6,105.3,110,112.3
2023-07-31,111.5,104.5,99.5,110.4,118.5,110.8,110.6,108.2,108.4,109.9,105.5,110,112.6
2023-08-31,111.2,104.6,99.5,110.4,118.5,111.1,110.7,108.1,108.9,109.9,105.8,111,113.6
2023-09-30,111.1,104.8,99.5,110.4,119.2,111.8,110.8,108.8,109.4,110,106.3,110.7,116.7
2023-10-31,111.6,105,99.5,110.4,121,112.8,111.2,109.1,109.4,110.2,106.3,114.2,120
