Month,petrol95,diesel005,paraffin,MRGP,randuS_exchenge,brent_crude
2021-01-31,519.17,541.63,527.128,9264.394,14.939,49.2
2021-02-28,600.17,599.63,586.128,10725.242,15.087,53.1
2021-03-31,665.17,653.63,633.128,11378.95,14.763,60
2021-04-30,736.17,693.63,667.128,11748.889,14.95,65.14
2021-05-31,727.17,659.63,644.128,10442.791,14.448,64.16
2021-06-30,717.17,679.63,664.128,9367.208,14.11,66
2021-07-31,743.17,721.63,700.128,9839.591,13.92,73
2021-08-31,827.59,770.63,750.128,11550.42,14.65,74
2021-09-30,817.11,746.63,735.128,12259.14,14.77,72.5
2021-10-31,818.31,771.63,767.128,12203.01,14.56,75.5
2021-11-30,937.11,917.03,912.128,14398.03,14.72,83.4
2021-12-31,973.97,955.63,946.128,15784.237,15.85,83.5
2022-01-31,903.47,885.63,875.128,14928.21,15.92,76
2022-02-28,969.63,978.63,976.128,13986.44,15.51,87
2022-03-31,1100.27,1107.63,1097.128,14518.9,15.23,96.47
2022-04-30,1278.71,1402.63,1363.128,16407.75,15.02,109.37
2022-05-31,1264.41,1497.63,1446.128,16931.07,14.9,104.78
2022-06-30,1484.41,1607.63,1602.128,16512.33,15.95,115
2022-07-31,1689.41,1763.63,1768.128,14900.17,15.76,115.77
2022-08-31,1482.41,1600.63,1624.128,15326.82,16.87,105
2022-09-30,1247.75,1513.63,1542.128,14080.06,16.7,94
2022-10-31,1145.75,1523.63,1481.128,14226.36,17.55,89.79
2022-11-30,1209.89,1679.63,1558.128,13485.43,18.11,92.41
2022-12-31,1234.49,1508.63,1500.128,13518.8,17.53,88.77
2023-01-31,1050.39,1261.63,1307.128,14136.57,17.28,85.08
2023-02-28,1122.23,1314.63,1365.128,13075.17,17.05,86.16
2023-03-31,1244.85,1340.63,1378.128,17027.03,17.74,82.14
2023-04-30,1243.43,1263.63,1239.128,16329.38,18.3,79.24
2023-05-31,1295.97,1205.63,1206.128,12971.56,18.13,82.2
2023-06-30,1225.97,1122.63,1163.128,13536.87,18.99,75.9
2023-07-31,1208.97,1140.63,1159.128,11303.9,18.68,75.1
2023-08-31,1245.97,1212.63,1230.128,10080.59,18.28,79.75
2023-09-30,1411.97,1520.03,1508.128,11793.72,18.67,84.78
2023-10-31,1495.27,1662.63,1659.128,13682.33,18.99,91.86
2023-11-30,1295.35,1555.63,1562.128,14807.14,19.08,88.72
